season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34
1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6
1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3
1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1
1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59
1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65
1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5
1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64
1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43
1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,219
1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,122
1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,45
1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,84
1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,62
1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23
1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17
1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5
1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,34
1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187
1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95
1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
