Mortgage,Balance,Amount Past Due,Credit Inquiry,Open Trade,Delinquency,Utilization,Gender,Race,Approved
196153.9,2115.19,0.0,0,0,0,0.759069081,1,0,1
149717.49,2713.77,1460.57,1,1,1,0.402819728,1,0,1
292626.34,2209.01,0.0,0,0,0,0.684271596,1,1,1
264812.52,21.68,0.0,0,0,0,0.037981784,0,0,0
236374.39,1421.49,1290.85,0,0,2,0.231109853,1,1,1
204896.84,54.7,0.0,0,0,0,0.1446557,0,1,0
126149.11,1004.64,0.0,0,0,0,0.482823323,1,0,1
340848.62,2346.55,1066.52,1,0,5,0.414824408,1,1,1
248181.88,3232.56,0.0,0,0,0,0.484829264,1,1,1
152827.37,92.91,0.0,0,0,0,0.083285161,0,0,0
305059.29,139.16,0.0,0,0,0,0.134230272,1,1,1
145543.06,1131.46,883.55,0,0,1,0.342271981,1,0,1
336090.35,399.91,0.0,0,0,0,0.292488749,0,1,0
133008.4,622.22,0.0,0,0,0,0.152665282,0,0,0
293083.18,2833.99,0.0,0,0,0,0.998337513,1,1,1
166221.49,553.48,0.0,0,0,0,0.513501808,0,0,0
260589.84,414.22,0.0,1,1,0,0.411299325,0,1,0
160870.68,859.75,389.25,0,0,3,0.599931758,1,1,0
419985.23,1967.91,1820.22,0,0,1,0.873534058,0,1,1
250005.37,2133.88,0.0,1,1,0,0.423178748,1,1,0
230456.8,1861.36,0.0,0,0,0,0.375355407,1,1,1
307019.26,662.46,215.43,1,1,1,0.314616291,1,1,0
285467.95,3882.46,0.0,0,0,0,0.956251166,1,1,1
216614.65,83.91,0.0,0,0,0,0.047779297,1,1,1
187801.08,1072.0,0.0,0,0,0,0.921042979,0,1,0
177138.13,751.9,461.12,1,1,4,0.401521115,0,0,0
300840.37,1542.37,1005.37,2,2,4,0.405700734,1,1,0
258075.42,2084.93,116.21,0,0,1,0.905761385,0,1,0
290827.03,1601.37,1236.1,0,0,1,0.76743768,0,1,1
361280.81,2434.12,1861.18,1,1,1,0.804590106,0,1,0
160802.57,2623.04,2387.54,0,0,1,0.547257236,1,0,1
235567.69,1027.32,0.0,0,0,0,0.970810302,0,1,1
231633.6,3047.56,2083.9,2,1,5,0.739009388,1,1,0
158394.98,407.38,0.0,0,0,0,0.155892728,1,1,1
322916.66,498.15,158.57,1,0,5,0.134093237,1,1,0
307229.01,183.8,0.0,0,0,0,0.091430723,0,1,1
290468.54,1132.6,0.0,0,0,0,0.496158544,1,1,1
201979.29,344.77,0.0,0,0,0,0.096209458,1,1,1
223839.51,2731.39,0.0,0,0,0,0.943443038,1,0,0
234633.03,518.66,422.13,0,0,3,0.269634724,1,1,1
353046.43,659.36,0.0,0,0,0,0.712102701,0,1,1
145435.13,759.43,0.0,0,0,0,0.879068388,0,0,1
395525.48,2401.41,264.12,1,0,5,0.942456874,0,1,1
156772.82,2311.94,2010.01,1,1,2,0.942919973,1,0,0
213404.12,274.65,114.38,1,1,4,0.5927124,0,1,0
144291.79,408.33,78.49,0,0,2,0.136990925,1,0,0
247203.67,546.91,0.0,1,1,0,0.139856399,1,1,1
313048.36,200.04,0.0,0,0,0,0.229724991,0,1,1
142321.07,126.38,0.0,0,0,0,0.080708922,0,0,0
271752.71,492.2,0.0,0,0,0,0.177543861,0,1,1
304390.0,2497.85,0.0,0,0,0,0.672678426,1,1,1
226169.23,2196.38,1210.5,1,1,2,0.891842985,0,1,0
171848.37,553.79,242.67,1,0,3,0.320224731,0,0,0
162812.71,817.98,639.92,1,1,2,0.4420376,1,0,0
164090.25,2702.96,0.0,1,1,0,0.527388278,1,0,1
225892.36,292.02,28.45,1,0,1,0.081516635,1,1,0
348833.35,155.25,0.0,0,0,0,0.049511832,1,1,1
200846.91,292.15,146.5,0,0,1,0.280022484,0,1,0
413354.68,603.7,0.0,0,0,0,0.197801208,1,1,1
418641.46,579.76,0.0,0,0,0,0.581727769,0,1,1
154250.43,475.88,447.68,1,1,3,0.377151441,0,1,0
258978.16,519.45,305.24,0,0,1,0.058388354,1,1,1
194912.18,175.46,0.0,0,0,0,0.113852554,0,1,0
289170.94,689.36,251.78,1,1,2,0.137899639,1,1,0
368570.23,3140.79,0.0,0,0,0,0.608859481,1,1,1
225864.96,364.12,188.93,0,0,2,0.270866014,0,1,0
160105.91,478.98,0.0,0,0,0,0.180198396,1,0,0
332412.98,760.79,0.0,0,0,0,0.614853938,0,1,0
182968.36,341.85,0.0,0,0,0,0.167927069,0,0,1
348474.84,484.33,215.5,0,0,1,0.341407774,0,1,0
234807.1,29.05,3.84,0,0,4,0.045421759,0,1,1
184825.87,770.21,0.0,0,0,0,0.744644147,0,1,0
277429.98,5544.42,0.0,0,0,0,0.897983952,1,1,0
184914.06,225.7,0.0,0,0,0,0.186019232,0,1,1
171689.8,514.92,0.0,0,0,0,0.166224226,1,1,1
250410.02,88.03,0.0,0,0,0,0.093811111,0,1,0
217064.21,456.91,129.0,0,0,2,0.103940133,1,0,1
190584.11,1139.22,714.12,0,0,1,0.992014481,0,1,0
247285.86,2006.73,1654.2,1,0,1,0.906875026,1,1,0
260402.36,184.47,0.0,0,0,0,0.204314155,0,1,1
389099.71,605.86,22.26,2,2,5,0.236204985,0,1,1
162965.78,908.93,294.95,1,0,4,0.40467836,1,1,1
403556.64,3929.95,1029.18,0,0,2,0.654261532,1,1,1
214944.44,1931.87,1643.36,0,0,4,0.415314333,1,1,0
169603.06,4210.93,1398.91,1,1,2,0.8746175,1,1,0
126075.45,1555.23,1427.27,1,1,1,0.343503683,0,0,1
279814.47,2565.39,0.0,0,0,0,0.558218887,1,1,1
314870.43,108.27,0.0,0,0,0,0.201472211,0,1,1
150709.4,80.75,0.0,1,0,0,0.120966386,0,0,1
213876.58,71.54,58.29,0,0,1,0.087428931,0,1,1
379459.98,3770.33,0.0,0,0,0,0.597324152,1,1,1
355187.61,606.96,606.7,1,0,4,0.160450966,1,1,1
379791.83,536.35,0.0,0,0,0,0.196140275,0,1,1
511174.09,2238.39,0.0,1,1,0,0.571710821,1,1,1
137838.01,412.71,0.0,0,0,0,0.206103629,0,0,1
379709.87,139.0,0.0,0,0,0,0.225188177,0,1,1
169227.5,199.31,0.0,0,0,0,0.135976676,0,0,0
295929.7,1444.65,948.51,0,0,1,0.58194713,0,1,0
259079.69,166.65,156.38,0,0,3,0.235485845,0,1,1
575990.89,1276.52,0.0,0,0,0,0.25069886,1,1,0
285095.98,2573.72,0.0,0,0,0,0.993767305,1,1,1
293971.87,453.71,212.21,0,0,1,0.338873987,0,1,1
171358.52,486.54,254.15,0,0,1,0.243668657,0,1,0
161160.6,1478.66,0.0,1,1,0,0.893076766,0,0,1
195105.0,4068.5,1419.43,2,2,4,0.999335559,1,1,0
313230.9,158.92,0.0,0,0,0,0.055334036,1,1,1
179316.6,3507.55,0.0,0,0,0,0.683099559,1,1,1
279277.81,1359.62,0.0,0,0,0,0.427552306,1,1,1
429988.65,672.38,0.0,0,0,0,0.354557745,1,1,1
400849.49,224.18,0.0,0,0,0,0.189039152,0,1,1
195362.2,3510.35,2754.96,0,0,1,0.505676146,1,0,0
254522.32,154.32,86.74,1,0,2,0.189678695,0,1,0
319948.74,2182.04,2005.79,0,0,3,0.589900557,1,1,0
267002.56,78.39,0.0,0,0,0,0.114690252,0,1,1
282458.41,280.5,86.97,0,0,1,0.216005315,1,1,1
310474.41,1300.2,167.84,0,0,3,0.639221332,0,1,1
251942.13,701.11,0.0,0,0,0,0.657480535,0,1,1
296381.8,6829.08,0.0,0,0,0,0.982363421,1,1,1
471060.89,657.82,0.0,0,0,0,0.764974436,0,1,1
248729.26,545.49,464.21,1,1,4,0.103471234,1,1,1
147159.64,3405.55,0.0,0,0,0,0.735400278,1,0,1
238958.25,489.36,0.0,0,0,0,0.171060277,1,1,1
412136.15,1941.69,0.0,1,1,0,0.73500669,1,1,0
200181.36,291.61,271.12,0,0,1,0.156792475,0,1,0
169252.44,559.5,0.0,0,0,0,0.564387258,0,0,0
182643.91,2196.76,1038.83,1,1,1,0.510215528,1,0,0
227607.85,2380.64,719.25,0,0,1,0.470326792,1,0,1
151225.12,3229.6,0.0,0,0,0,0.484803279,1,0,0
236488.38,550.14,370.53,2,1,5,0.265037196,1,1,1
370368.68,41.33,25.2,2,0,5,0.023132726,0,1,1
300400.55,2143.5,813.35,1,0,4,0.929733209,0,1,1
293056.97,254.77,191.17,1,1,1,0.0828629,1,1,1
219226.85,1731.07,1315.24,0,0,2,0.74876478,0,0,0
234102.88,2691.7,0.0,0,0,0,0.533520241,1,0,1
258411.81,1210.47,0.0,0,0,0,0.272952321,1,1,1
137565.39,423.65,0.0,0,0,0,0.233941552,0,0,1
176033.23,1350.65,0.0,0,0,0,0.534521499,0,0,0
270607.33,271.21,0.0,0,0,0,0.245605155,0,1,1
144007.78,1678.94,0.0,0,0,0,0.353565089,1,0,0
278770.08,505.07,477.95,1,1,1,0.614841774,0,1,1
291775.39,1532.4,0.0,0,0,0,0.370141851,1,1,1
448839.41,605.6,142.24,1,1,1,0.561174891,0,1,1
219833.8,5523.17,5163.24,1,1,1,0.994163661,1,0,0
208102.66,196.63,7.69,1,1,1,0.066712213,1,1,1
282114.49,1261.93,113.7,1,1,1,0.497121481,1,1,0
154084.16,659.26,0.0,0,0,0,0.612142714,0,0,0
194114.29,1208.15,329.94,1,1,2,0.184593342,1,1,1
279764.87,444.8,0.0,0,0,0,0.273784948,0,1,1
234682.98,116.64,0.0,0,0,0,0.018538218,1,1,1
237277.13,6806.76,1251.08,2,1,5,0.997797458,1,1,0
387932.27,424.59,125.49,0,0,1,0.120520059,0,1,1
138387.28,1009.66,0.0,0,0,0,0.822056081,0,0,1
351613.1,467.68,0.0,1,0,0,0.271833249,1,1,0
217893.54,654.23,0.0,0,0,0,0.77355241,0,1,1
286931.07,1548.15,0.0,0,0,0,0.606381749,1,1,1
224721.07,2409.57,0.0,0,0,0,0.876883063,1,0,0
