Mortgage,Balance,Amount Past Due,Delinquency,Inquiry,Open Trade,Utilization,Gender,Race,Status
139734.22,2717.87,0,0,0,0,0.785161855,0,0,0
243359.62,193.6,0,0,0,0,0.254758601,0,0,1
187784.19,395.05,0,0,1,0,0.360994561,0,0,1
594626.89,180.94,0,0,0,0,0.128143772,0,1,1
166771.42,1241.13,0,0,0,0,0.70295846,0,0,0
254358.76,452.23,0,0,0,0,0.540925795,0,1,1
424575.44,1571.51,0,0,0,0,0.472823483,1,1,1
226766.06,1274.8,697.34,2,0,0,0.415094725,1,1,0
125507.28,1553.09,1240.22,2,1,1,0.594643967,1,0,0
362982.73,841.5,0,0,0,0,0.759499812,0,1,0
340291.28,2441.99,438.11,1,0,0,0.982584234,1,1,0
184775.28,2560.21,298.97,5,0,0,0.590394319,1,1,0
252910.5,675.39,0,0,0,0,0.430799878,1,1,1
220256.47,1342.17,585.27,1,0,0,0.242957601,1,0,1
265631.44,58.1,46.91,5,0,0,0.015863555,1,1,1
352464.24,809.51,0,0,0,0,0.437706325,0,1,1
161677.25,178.07,0,0,0,0,0.258091227,0,1,1
219751.95,257.13,0,0,0,0,0.246896693,0,1,1
176188.76,163,0,0,0,0,0.092358864,1,0,0
139856.94,2200.78,0,0,1,1,0.94080887,1,0,1
346306.52,1086.82,0,0,0,0,0.720579117,1,1,0
174311.94,1611.75,0,0,0,0,0.221908072,1,0,1
133958.17,6131.72,0,0,0,0,0.97423232,1,0,1
175462.8,163.99,153.07,2,2,1,0.064904533,1,1,0
130836.92,3610.24,2191.66,3,0,0,0.964925991,1,1,0
256845.96,498.77,0,0,0,0,0.160384757,1,1,1
265077.62,4882.15,3314.64,4,1,1,0.539590695,1,1,0
318786.37,1366.62,0,0,0,0,0.397605982,1,1,1
245375.94,1312.51,1235.77,1,1,0,0.436851578,1,1,0
350670.81,3771.55,2596.71,5,2,0,0.468874104,1,1,0
332638.51,1860.93,0,0,0,0,0.756919511,0,1,1
228029.75,279.44,267.08,4,0,0,0.314879947,0,1,0
152703.07,60.98,3.95,2,1,1,0.128540018,0,0,0
205867.75,411.44,0,0,0,0,0.307471153,0,0,1
163366.28,182.06,0,0,0,0,0.098373984,0,0,1
179639.87,293,0,0,0,0,0.28784561,0,1,0
283749.81,649.91,0,0,0,0,0.201557621,1,1,1
164489.07,1269.53,0,0,0,0,0.824997558,1,0,0
391909.12,717.46,216.76,1,0,0,0.170308591,1,1,1
146425.87,1822.17,0,0,0,0,0.459277144,1,0,1
258551.49,598.66,0,0,0,0,0.274830785,0,1,0
196746.91,277.34,21.81,5,1,0,0.293279046,0,1,0
360447.92,902.8,698.01,1,0,0,0.917216001,0,1,1
335925.37,1034.79,231.08,1,0,0,0.553314317,0,1,0
228547.33,1717.57,38.75,3,2,2,0.427944471,1,1,0
478504.63,782.19,6.72,4,1,0,0.493569764,0,1,0
167929.84,1262.89,840.77,2,2,2,0.921048807,0,0,0
