Loan Amount,Loan-to-Value Ratio,Intro Rate Period,Property Value,Income,Debt-to-Income Ratio,Term 360,Conforming,Race,Ethnicity,Sex,Interest Rate
325000.0,0.944,0.0,335000.0,113000.0,0.37,1.0,1.0,White,Non-Hispanic,Male,0.045
285000.0,0.965,0.0,295000.0,90000.0,0.47,1.0,1.0,Asian,Non-Hispanic,Female,0.04375
85000.0,0.8,0.0,105000.0,40000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0475
105000.0,1.0073,0.0,105000.0,35000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0525
465000.0,0.75,0.0,615000.0,94000.0,0.43,1.0,1.0,White,Non-Hispanic,Female,0.05
155000.0,0.8,0.0,195000.0,135000.0,0.1,1.0,1.0,White,Non-Hispanic,Female,0.0475
505000.0,1.0,0.0,505000.0,110000.0,0.47,1.0,1.0,Black,Non-Hispanic,Female,0.03875
195000.0,0.75,0.0,255000.0,105000.0,0.33,1.0,1.0,White,Hispanic,Male,0.04875
85000.0,0.9,0.0,95000.0,28000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.05125
145000.0,0.75,0.0,195000.0,58000.0,0.38,1.0,1.0,White,Non-Hispanic,Male,0.04625
165000.0,0.7826000000000001,0.0,205000.0,50000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.05
155000.0,1.0042,0.0,165000.0,31000.0,0.55,1.0,1.0,White,Hispanic,Male,0.03375
235000.0,0.7,0.0,335000.0,164000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.045
565000.0,0.9,0.0,625000.0,158000.0,0.41,1.0,1.0,White,Non-Hispanic,Male,0.0475
55000.0,1.0365,0.0,65000.0,31000.0,0.25,1.0,1.0,Black,Non-Hispanic,Female,0.04375
605000.0,0.94,0.0,645000.0,201000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.05625
65000.0,0.8987,0.0,75000.0,39000.0,0.38,1.0,1.0,White,Non-Hispanic,Male,0.055
255000.0,1.0,0.0,245000.0,76000.0,0.49,1.0,1.0,Black,Non-Hispanic,Male,0.04875
155000.0,0.55814,0.0,265000.0,51000.0,0.38,1.0,1.0,White,Non-Hispanic,Female,0.04875
345000.0,0.85,0.0,405000.0,115000.0,0.49,1.0,1.0,White,Non-Hispanic,Male,0.04625
175000.0,0.95,0.0,225000.0,95000.0,0.47,1.0,1.0,White,Non-Hispanic,Male,0.04625
195000.0,1.0,0.0,195000.0,64000.0,0.49,1.0,1.0,White,Non-Hispanic,Male,0.045
175000.0,1.0101,0.0,175000.0,55000.0,0.42,1.0,1.0,White,Non-Hispanic,Female,0.045
895000.0,0.8,0.0,1115000.0,275000.0,0.41,1.0,0.0,White,Non-Hispanic,Male,0.045
365000.0,1.033,0.0,355000.0,90000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.04
305000.0,1.0,0.0,305000.0,165000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.04625
165000.0,0.9203,0.0,195000.0,33000.0,0.44,1.0,1.0,White,Non-Hispanic,Female,0.0499
205000.0,0.8,0.0,255000.0,86000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0425
265000.0,1.0,0.0,265000.0,49000.0,0.75,1.0,1.0,White,Non-Hispanic,Male,0.05
175000.0,0.95452,0.0,175000.0,30000.0,0.55,1.0,1.0,White,Hispanic,Female,0.04625
715000.0,0.97878,0.0,715000.0,123000.0,0.44,1.0,0.0,White,Hispanic,Male,0.0425
175000.0,0.9818,0.0,175000.0,129000.0,0.38,1.0,1.0,White,Hispanic,Female,0.05625
155000.0,1.0101,0.0,155000.0,61000.0,0.37,1.0,1.0,White,Non-Hispanic,Female,0.05
555000.0,0.6,60.0,935000.0,183000.0,0.42,1.0,1.0,Asian,Non-Hispanic,Male,0.055
325000.0,0.8,0.0,575000.0,89000.0,0.44,1.0,1.0,White,Non-Hispanic,Male,0.0463
385000.0,1.0,0.0,385000.0,88000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.0399
395000.0,0.8,0.0,495000.0,120000.0,0.36,1.0,1.0,White,Non-Hispanic,Female,0.04375
305000.0,0.47619,0.0,635000.0,96000.0,0.44,1.0,1.0,Black,Non-Hispanic,Male,0.0525
315000.0,0.9,0.0,345000.0,52000.0,0.46,1.0,1.0,White,Non-Hispanic,Male,0.0449899999999999
65000.0,0.6875,0.0,95000.0,35000.0,0.4,1.0,1.0,White,Non-Hispanic,Female,0.04875
305000.0,0.8,0.0,385000.0,90000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.045
365000.0,0.48,0.0,775000.0,92000.0,0.33,1.0,1.0,Asian,Non-Hispanic,Male,0.04375
175000.0,0.97,0.0,185000.0,56000.0,0.33,1.0,1.0,White,Hispanic,Male,0.0475
255000.0,0.95,0.0,275000.0,102000.0,0.37,1.0,1.0,White,Non-Hispanic,Male,0.0475
115000.0,0.965,0.0,115000.0,52000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.045
65000.0,0.8,0.0,85000.0,59000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.04875
325000.0,0.97,0.0,335000.0,52000.0,0.47,1.0,1.0,White,Non-Hispanic,Male,0.04625
395000.0,0.95,0.0,415000.0,76000.0,0.4,1.0,1.0,White,Hispanic,Male,0.035
405000.0,0.95,0.0,435000.0,110000.0,0.46,1.0,1.0,Black,Non-Hispanic,Female,0.05125
795000.0,0.8,60.0,995000.0,286000.0,0.25,1.0,0.0,Asian,Non-Hispanic,Male,0.05875
395000.0,0.8,0.0,495000.0,165000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.04875
265000.0,1.0,0.0,265000.0,67000.0,0.36,1.0,1.0,White,Non-Hispanic,Male,0.055
685000.0,0.95,86.0,725000.0,249000.0,0.42,1.0,0.0,White,Non-Hispanic,Male,0.045
275000.0,0.95,0.0,295000.0,70000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0495
135000.0,0.97,0.0,145000.0,62000.0,0.39,1.0,1.0,White,Non-Hispanic,Male,0.04
505000.0,1.0,180.0,505000.0,215000.0,0.25,1.0,0.0,White,Non-Hispanic,Female,0.043
165000.0,1.0101,0.0,165000.0,59000.0,0.39,1.0,1.0,White,Non-Hispanic,Female,0.05
165000.0,0.5665,0.0,295000.0,81000.0,0.36,1.0,1.0,White,Non-Hispanic,Male,0.03875
205000.0,0.982,0.0,215000.0,123000.0,0.33,1.0,1.0,Black,Non-Hispanic,Female,0.05625
235000.0,0.9,84.0,265000.0,60000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.03875
125000.0,0.98188,0.0,135000.0,43000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.0475
485000.0,0.8,0.0,615000.0,198000.0,0.25,1.0,0.0,White,Non-Hispanic,Male,0.04625
385000.0,0.9,0.0,435000.0,78000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.045
205000.0,0.7490600000000001,0.0,275000.0,39000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.0525
515000.0,0.8803,0.0,585000.0,111000.0,0.41,1.0,1.0,White,Non-Hispanic,Male,0.045
75000.0,0.5,0.0,155000.0,82000.0,0.25,0.0,1.0,White,Non-Hispanic,Female,0.03375
265000.0,0.5498,0.0,465000.0,91000.0,0.46,1.0,1.0,Asian,Non-Hispanic,Female,0.0475
255000.0,0.965,0.0,265000.0,56000.0,0.43,1.0,1.0,Black,Non-Hispanic,Male,0.0475
495000.0,0.98118,0.0,495000.0,134000.0,0.4,1.0,0.0,White,Non-Hispanic,Male,0.057
375000.0,0.9818,0.0,385000.0,117000.0,0.33,1.0,1.0,Black,Non-Hispanic,Female,0.04625
195000.0,0.6,0.0,315000.0,39000.0,0.48,1.0,1.0,Asian,Non-Hispanic,Male,0.04375
125000.0,0.965,0.0,135000.0,32000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.0475
115000.0,0.95,0.0,125000.0,62000.0,0.4,1.0,1.0,Black,Non-Hispanic,Female,0.0475
225000.0,0.83176,0.0,265000.0,49000.0,0.46,1.0,1.0,White,Non-Hispanic,Male,0.045
305000.0,0.76,0.0,395000.0,209000.0,0.42,0.0,1.0,Asian,Non-Hispanic,Male,0.04125
195000.0,0.8,0.0,245000.0,207000.0,0.1,1.0,1.0,White,Non-Hispanic,Male,0.0525
145000.0,0.9967,0.0,145000.0,39000.0,0.45,1.0,1.0,White,Hispanic,Female,0.04375
225000.0,0.47368,0.0,475000.0,88000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.045
105000.0,0.5972,0.0,185000.0,75000.0,0.33,1.0,1.0,White,Hispanic,Male,0.045
315000.0,0.9,0.0,355000.0,72000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.047
205000.0,0.965,0.0,205000.0,72000.0,0.33,1.0,1.0,Black,Non-Hispanic,Female,0.04875
45000.0,0.8,0.0,65000.0,19000.0,0.39,1.0,1.0,White,Non-Hispanic,Female,0.0475
375000.0,0.8,0.0,465000.0,94000.0,0.55,1.0,1.0,Asian,Non-Hispanic,Male,0.045
765000.0,0.61,0.0,1265000.0,801000.0,0.1,1.0,0.0,White,Non-Hispanic,Male,0.04625
345000.0,0.965,0.0,345000.0,101000.0,0.41,1.0,1.0,Black,Non-Hispanic,Female,0.03875
125000.0,0.9818,0.0,135000.0,46000.0,0.42,1.0,1.0,Black,Non-Hispanic,Male,0.04875
115000.0,0.965,0.0,115000.0,75000.0,0.4,1.0,1.0,White,Non-Hispanic,Female,0.03875
1015000.0,0.8,84.0,1275000.0,336000.0,0.41,1.0,0.0,Asian,Non-Hispanic,Male,0.035
165000.0,0.9818,0.0,165000.0,118000.0,0.55,1.0,1.0,White,Non-Hispanic,Female,0.0475
455000.0,0.68,0.0,675000.0,164000.0,0.46,1.0,1.0,White,Non-Hispanic,Male,0.05
185000.0,0.8,0.0,225000.0,31000.0,0.46,1.0,1.0,Asian,Non-Hispanic,Male,0.04875
175000.0,0.95,0.0,185000.0,70000.0,0.33,1.0,1.0,White,Non-Hispanic,Female,0.045
55000.0,0.36,0.0,135000.0,24000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.04625
175000.0,0.9471,0.0,195000.0,74000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.0499
265000.0,0.8,0.0,335000.0,120000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.03875
295000.0,0.965,0.0,305000.0,92000.0,0.55,1.0,1.0,White,Non-Hispanic,Male,0.0475
195000.0,0.95,0.0,205000.0,143000.0,0.33,0.0,1.0,Asian,Non-Hispanic,Female,0.04125
285000.0,0.8499,0.0,335000.0,85000.0,0.37,1.0,1.0,White,Non-Hispanic,Male,0.0429
135000.0,0.965,0.0,135000.0,35000.0,0.49,1.0,1.0,White,Non-Hispanic,Male,0.045
85000.0,0.5861999999999999,0.0,145000.0,34000.0,0.39,0.0,1.0,White,Non-Hispanic,Male,0.0375
205000.0,0.95,0.0,215000.0,132000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.05625
365000.0,0.95,0.0,385000.0,90000.0,0.49,1.0,1.0,Black,Non-Hispanic,Female,0.045
135000.0,0.7,0.0,195000.0,31000.0,0.37,1.0,1.0,Asian,Non-Hispanic,Male,0.04625
455000.0,0.84993,0.0,885000.0,434000.0,0.25,1.0,1.0,White,Non-Hispanic,Male,0.04875
195000.0,0.97,0.0,205000.0,65000.0,0.38,1.0,1.0,White,Non-Hispanic,Male,0.04875
185000.0,0.8,0.0,225000.0,58000.0,0.36,1.0,1.0,White,Hispanic,Male,0.05375
135000.0,0.97,0.0,145000.0,70000.0,0.33,1.0,1.0,White,Hispanic,Male,0.05
375000.0,1.0,0.0,365000.0,149000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.045
155000.0,0.97,0.0,165000.0,55000.0,0.43,1.0,1.0,White,Non-Hispanic,Female,0.04875
555000.0,0.77,0.0,725000.0,135000.0,0.49,1.0,1.0,Asian,Non-Hispanic,Female,0.04375
145000.0,0.965,0.0,155000.0,49000.0,0.48,1.0,1.0,Black,Non-Hispanic,Female,0.05125
85000.0,0.9937,0.0,75000.0,56000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.045
225000.0,0.965,0.0,225000.0,43000.0,0.41,1.0,1.0,White,Hispanic,Male,0.045
125000.0,0.9,0.0,135000.0,42000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.0575
275000.0,0.9818828,0.0,275000.0,64000.0,0.42,1.0,1.0,White,Non-Hispanic,Male,0.05125
235000.0,1.0,0.0,235000.0,79000.0,0.41,1.0,1.0,White,Non-Hispanic,Male,0.04625
165000.0,0.99694,0.0,165000.0,50000.0,0.33,1.0,1.0,White,Hispanic,Male,0.04375
135000.0,0.97,0.0,145000.0,49000.0,0.39,1.0,1.0,White,Non-Hispanic,Female,0.0525
465000.0,0.7997,0.0,575000.0,77000.0,0.41,1.0,0.0,White,Non-Hispanic,Female,0.04125
125000.0,0.8,0.0,155000.0,87000.0,0.33,1.0,1.0,White,Hispanic,Female,0.045
305000.0,1.0,0.0,305000.0,86000.0,0.44,1.0,1.0,White,Hispanic,Male,0.0525
195000.0,1.0,0.0,195000.0,58000.0,0.4,1.0,1.0,White,Non-Hispanic,Male,0.0375
75000.0,0.4443999999999999,0.0,175000.0,33000.0,0.33,0.0,1.0,White,Non-Hispanic,Male,0.04875
305000.0,0.95,0.0,325000.0,90000.0,0.46,1.0,1.0,White,Non-Hispanic,Female,0.0438
355000.0,0.9,0.0,395000.0,93000.0,0.49,1.0,1.0,Asian,Non-Hispanic,Male,0.05125
95000.0,0.95,0.0,95000.0,35000.0,0.4,1.0,1.0,Asian,Non-Hispanic,Male,0.0525
95000.0,1.0041,0.0,95000.0,41000.0,0.43,1.0,1.0,Black,Non-Hispanic,Female,0.05125
205000.0,0.5367999999999999,0.0,385000.0,0.0,0.25,0.0,1.0,White,Non-Hispanic,Male,0.045
215000.0,0.97,0.0,225000.0,60000.0,0.41,1.0,1.0,White,Non-Hispanic,Female,0.0475
215000.0,0.8,0.0,275000.0,65000.0,0.42,1.0,1.0,White,Non-Hispanic,Female,0.045
155000.0,0.9,0.0,175000.0,69000.0,0.25,1.0,1.0,White,Hispanic,Female,0.04875
135000.0,0.965,0.0,145000.0,53000.0,0.39,1.0,1.0,White,Hispanic,Male,0.04625
385000.0,0.8,0.0,485000.0,180000.0,0.33,1.0,1.0,White,Non-Hispanic,Male,0.05125
975000.0,0.75,0.0,1295000.0,273000.0,0.33,1.0,0.0,White,Non-Hispanic,Male,0.04125
75000.0,0.97,0.0,85000.0,34000.0,0.25,1.0,1.0,White,Non-Hispanic,Female,0.05
